term,ngram,rank
candidate profile,2,350
communication skills,2,294
years experience,2,294
desired candidate,2,250
perks benefits,2,168
computer science,2,149
good communication,2,142
problem solving,2,133
hands experience,2,114
team members,2,112
ability work,2,110
experience working,2,110
software development,2,109
experience years,2,106
information technology,2,99
written communication,2,99
required candidate,2,98
work experience,2,97
skills ability,2,91
interpersonal skills,2,90
good knowledge,2,87
internal external,2,85
best practices,2,82
working knowledge,2,82
10 years,2,79
added advantage,2,78
verbal written,2,77
end end,2,76
day day,2,74
good understanding,2,68
benefits perks,2,67
hr team,2,66
minimum years,2,65
job benefits,2,64
balance sheet,2,63
design development,2,63
excellent communication,2,63
written verbal,2,63
skills excellent,2,62
development experience,2,61
cross functional,2,60
project management,2,59
solving skills,2,59
bachelor degree,2,58
customer service,2,58
electrical engineering,2,58
degree computer,2,56
team player,2,56
experience building,2,55
high quality,2,55
strong knowledge,2,55
end users,2,51
ms office,2,51
relevant experience,2,51
skills experience,2,51
software engineering,2,51
working experience,2,49
customer support,2,48
front end,2,48
skills strong,2,48
design develop,2,47
management skills,2,47
pvt ltd,2,47
analytical skills,2,46
fast paced,2,45
skills required,2,45
world class,2,44
policies procedures,2,43
product development,2,43
skills good,2,43
years relevant,2,43
contact hr,2,42
software engineer,2,42
candidate must,2,41
ci cd,2,41
related field,2,41
verbal communication,2,41
well versed,2,41
basic knowledge,2,40
communication skill,2,40
excellent verbal,2,40
experience developing,2,40
full stack,2,40
interested candidates,2,40
continuous improvement,2,39
job responsibilities,2,39
job location,2,38
key responsibilities,2,38
large scale,2,38
oral written,2,38
rotational shifts,2,38
high level,2,37
least years,2,37
prior experience,2,37
accounts payable,2,36
digital marketing,2,36
electrical electronics,2,36
team environment,2,36
attention detail,2,35
deep understanding,2,35
development lifecycle,2,35
excellent written,2,35
object oriented,2,35
strong analytical,2,35
work closely,2,35
cause analysis,2,34
tools like,2,34
data structures,2,33
diploma electrical,2,33
experience managing,2,33
functional teams,2,33
good experience,2,33
information security,2,33
provide technical,2,33
strong understanding,2,33
tally erp,2,33
technical support,2,33
able work,2,32
accounts receivable,2,32
architecture design,2,32
daily basis,2,32
development team,2,32
highly motivated,2,32
perks whatsapp,2,32
process improvements,2,32
web applications,2,32
work independently,2,32
business solutions,2,31
electrical engineer,2,31
month end,2,31
new technologies,2,31
social media,2,31
time management,2,31
communication interpersonal,2,30
design build,2,30
life cycle,2,30
software solutions,2,30
whatsapp cv,2,30
15 years,2,29
class customer,2,29
customer queries,2,29
english hindi,2,29
full time,2,29
general accounting,2,29
income tax,2,29
industry experience,2,29
knowledge experience,2,29
preferred qualifications,2,29
production quality,2,29
voice support,2,29
apply job,2,28
bachelors degree,2,28
business requirements,2,28
continuous integration,2,28
experience java,2,28
learn new,2,28
long term,2,28
software design,2,28
years work,2,28
across multiple,2,27
application development,2,27
business needs,2,27
development teams,2,27
electrical electronic,2,27
engineering team,2,27
freshers experience,2,27
knowledge ms,2,27
master degree,2,27
ms excel,2,27
must good,2,27
sales team,2,27
willing work,2,27
work effectively,2,27
12 years,2,26
ability identify,2,26
also apply,2,26
amazon flipkart,2,26
customer experience,2,26
design patterns,2,26
electrical systems,2,26
electronic equipment,2,26
experience minimum,2,26
experience software,2,26
html css,2,26
mis reports,2,26
must knowledge,2,26
open source,2,26
root cause,2,26
solutions pvt,2,26
sound knowledge,2,26
spring boot,2,26
web services,2,26
automobile industry,2,25
bank reconciliation,2,25
black white,2,25
business development,2,25
customer satisfaction,2,25
good command,2,25
must experience,2,25
node js,2,25
presentation skills,2,25
quality assurance,2,25
resolve customer,2,25
strong experience,2,25
support internal,2,25
timely manner,2,25
white business,2,25
year experience,2,25
10th 12th,2,24
accounting knowledge,2,24
automobile engineer,2,24
cutting edge,2,24
data driven,2,24
experience electrical,2,24
lead team,2,24
petty cash,2,24
programming languages,2,24
project managers,2,24
unit testing,2,24
us healthcare,2,24
weekly monthly,2,24
whatsapp 91,2,24
account management,2,23
accounting functions,2,23
best class,2,23
