sentence_id,words,labels
0,manage,O
0,verticals,O
0,company,O
0,like,O
0,applications,I-SKILL
0,infrastructure,I-DEPT
0,security,O
0,leverage,O
0,shared,O
0,service,O
0,organization,O
0,deployment,I-SKILL
0,new,O
0,solutions,O
0,develop,O
0,organization,O
0,level,O
0,strategies,O
0,scenario,O
0,align,O
0,business,O
0,objectives,O
0,cost,O
0,efficient,O
0,manner,O
0,analyse,O
0,existing,O
0,infrastructure,O
0,areas,O
0,improvements,O
0,around,O
0,hardware,I-DEPT
0,operating,O
0,system,O
0,communications,O
0,software,I-DEPT
0,applications,O
0,data,O
0,processing,O
0,security,O
0,system,O
0,implementing,O
0,develop,O
0,implement,O
0,overall,O
0,security,O
0,ensure,O
0,utmost,O
0,protection,O
0,privacy,O
0,organization,O
0,information,O
0,data,O
0,identify,O
0,priorities,O
0,opportunities,O
0,digitization,O
0,automation,I-SKILL
0,execute,O
0,gradation,O
0,implementations,O
0,given,O
0,resources,O
0,liaison,O
0,internal,O
0,external,O
0,stakeholders,O
0,effectively,O
0,manage,O
0,business,O
0,environments,O
0,develop,O
0,lead,I-ROLE
0,guide,O
0,team,O
0,towards,O
0,effective,O
0,implementation,O
0,road,O
0,map,O
0,organization,O
0,guidelines,O
0,budget,I-SKILL
0,laid,O
0,manage,O
0,spends,O
0,budgets,O
0,line,O
0,meeting,O
0,requirements,O
0,objectives,O
0,dynamic,O
0,professional,O
0,15,O
0,overall,O
0,experience,O
0,end,O
0,end,O
0,implementation,O
0,management,O
0,including,O
0,infra,O
0,network,O
0,applications,O
0,security,O
1,hi,O
1,greetings,O
1,ecom,O
1,express,O
1,pvt,O
1,ltd,O
1,urgent,O
1,opening,O
1,post,O
1,sr,O
1,executive,O
1,ahmedabad,O
1,job,O
1,brief,O
1,ensure,O
1,efficient,O
1,operations,I-DEPT
1,local,O
1,area,O
1,networks,O
1,lans,O
1,wide,O
1,area,O
1,networks,O
1,wans,O
1,1,O
1,provide,O
1,user,O
1,support,I-SKILL
1,troubleshooting,I-SKILL
1,seamless,O
1,work,O
1,2,O
1,ensure,O
1,efficient,O
1,erp,I-SKILL
1,administration,I-ROLE
1,user,O
1,creation,O
1,deletion,O
1,modification,O
1,pod,O
1,digitalization,O
1,3,O
1,ensure,O
1,proper,O
1,e,O
1,mail,O
1,administration,O
1,user,O
1,creation,O
1,deletion,O
1,modification,O
1,4,O
1,provide,O
1,technical,B-ROLE
1,support,I-ROLE
1,mobile,O
1,app,O
1,first,O
1,miles,O
1,last,O
1,mile,O
1,deployment,I-SKILL
1,troubleshooting,O
1,attendance,O
1,machine,O
1,monitoring,I-ROLE
1,support,O
1,users,O
1,5,O
1,manage,O
1,inventory,O
1,ho,O
1,regional,O
1,state,O
1,level,O
1,asset,O
1,tracking,O
1,6,O
1,ensure,O
1,compliance,I-ROLE
1,renewal,O
1,software,I-DEPT
1,license,O
1,7,O
1,server,O
1,administration,O
1,ad,O
1,file,O
1,server,O
1,management,O
1,monitoring,O
1,user,O
1,creation,O
1,deletion,O
1,modification,O
1,ad,O
1,user,O
1,policies,O
1,8,O
1,ensure,O
1,regular,O
1,backup,O
1,maintenance,I-DEPT
1,activity,O
1,servers,O
1,9,O
1,voice,O
1,management,O
1,avaya,O
1,system,O
1,antivirus,O
1,server,O
1,management,O
1,epo,O
1,server,O
1,10,O
1,provide,O
1,mis,O
1,support,O
1,11,O
1,provide,O
1,l1,O
1,level,O
1,network,O
1,support,O
1,12,O
1,ensure,O
1,timely,O
1,reporting,O
1,network,O
1,operation,O
1,status,O
1,manager,I-ROLE
1,oversee,O
1,implementation,O
1,regular,O
1,updates,O
2,want,O
2,join,O
2,team,O
2,women,O
2,men,O
2,professionals,O
2,apply,O
2,skills,O
2,bring,O
2,groundbreaking,O
2,technology,O
2,based,O
2,capabilities,O
2,business,O
2,models,O
2,life,O
2,looking,O
2,use,O
2,grow,O
2,business,O
2,skills,O
2,whether,O
2,role,O
2,build,O
2,solution,O
2,craft,O
2,innovation,O
2,strategy,O
2,business,O
2,cyber,O
2,protect,O
2,critical,O
2,information,B-SKILL
2,systems,I-SKILL
2,assets,O
2,implement,O
2,project,O
2,strategic,O
2,supplier,O
2,state,O
2,art,O
2,shared,O
2,services,O
2,organization,O
2,real,O
2,passion,O
2,technology,O
2,business,O
2,application,I-SKILL
2,recognized,O
2,rewarded,O
2,deliver,O
2,help,O
2,p,O
2,g,O
